"Enabled","Habilitado"
"Title","Título"
"Subtitle","Sub-título"
"URL MyPudo","DPD Relais Webservice URL"
"ID trader","ID trader"
"Security Key","Security Key"
"Your DPD Depot #","Your DPD Depot #"
"Your DPD Relais contract #","Your DPD Relais contract #"
"Google Maps API Key","Google Maps API Key"
"Shipping rates configuration","Shipping rates configuration"
"Display when unavailable","Display when unavailable"
"Yes","Yes"
"No","No"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"

"Find DPD Pickup points near this address : ","Encontre pontos de coleta Jadlog perto deste endereço:"
"Your Pickup delivery by DPD","Sua entrega de pedido pela Jadlog"
"More details","Mais detalhes"
"You have to choose an address for your shipping!","Você deve escolher um endereço para o envio do pedido!"
"Your shopping cart is too heavy for being shipped in a Pickup point","Seu carrinho de compras é muito pesado para ser enviado em um ponto de retirada"
"An error ocurred while fetching the DPD Pickup points. Please try again","Ocorreu um erro ao obter os pontos de retirada Jadlog. Por favor, tente novamente"
"There are no DPD Pickup points for the selected adress. Please modify it.","Não há pontos de coleta Jadlog para o endereço selecionado. Modifique-o."
"The field Postal Code is mandatory!","O campo Código Postal é obrigatório!"
"The field City is mandatory!","O campo Cidade é obrigatório!"

"Your DPD Pickup point","Seu ponto de coleta Jadlog"
"Method Name","Nome do Método"
"Distance in KM","Distância em KM"
"DPD Pickup ID#","ID de Coleta Jadlog"
"Opening hours","Horário de funcionamento"
"More info","Mais informações"
"Closing period","Período de encerramento"
"info","info"
"Monday","Segunda"
"Tuesday","Terça"
"Wednesday","Quarta"
"Thursday","Quinta"
"Friday","Sexta"
"Saturday","Sábado"
"Sunday","Domingo"
"Closed","Fechado"
"Attention, this DPD Pickup point will be unavailable from","Atenção, este ponto de coleta Jadlog não estará disponível a partir de"
"Jan","Jan"
"Feb","Fev"
"Mar","Mar"
"Apr","Abr"
"May","Mai"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Set"
"Oct","Out"
"Nov","Nov"
"Dec","Dez"
