"DPD France","Jadlog"
"Orders management","Gerenciamento de Pedidos"
"Please first proceed to the configuration of the DPD France extension via System > Configuration > Sales > DPD France.","Primeiro, proceda à configuração da extensão Jadlog por meio de Sistema> Configuração> Vendas> Jadlog."
"DPD News","DPD News"
"show","mostrar"
"hide","ocultar"
"Export selected orders","Exportar pedidos selecionados"
"Ad Valorem","Ad Valorem<br/>insurance"
"Enable returns","Enable<br/>returns"
"Update shipped orders","Update shipped orders"
"DPD Pickup point","Jadlog Pickup point"
"Track the package","Rastrear o pacote"
"Documentation","Documentação"
"Your personal data","Seus dados pessoais"
"Company Name","Nome da Empresa"
"Address 1","Endereço 1"
"Address 2","Endereço 2"
"Postal code","Cep"
"Mobile","Celular"
"E-mail","E-Mail"
"Default parcel insurance service","Serviço de seguro de encomendas padrão"
"Integrated insurance (23€ / transported kg - LOTI cdts.)","Integrated insurance (23€ / transported kg - LOTI cdts.)"
"Ad Valorem insurance service","Ad Valorem insurance service"
"DPD Returns service","DPD Returns service"
"No returns","No returns"
"On Demand","Sob Demanda"
"Prepared","Preparado"
"config_comment","<strong>Welcome to DPD France.</strong> The plugin documentation is available here :<a href='../../../../../../../../media/dpdfrance/readme_dpdfrance_magento.pdf' target='_blank'><img src='../../../../../../../../media/dpdfrance/admin/pdf.png' alt='PDF'/></a><br/><br/><strong>Important : </strong>You must be a DPD France customer and be in posession of your contract details before configuring this module.<br/>If you want to get in touch with our sales team, please visit our website<a href='http://www.dpd.fr/professionnels' target='_blank'>www.dpd.fr</a><br/><br/><strong>Please fill in your shipper data</strong>"
